id,name,address,operator
DORM-03935,"03006K, 03171P, 03172T, 03174K, 0P3U1N75GNGOL DIGITAL DISTRICT (PDD) WORKERS' DORMITORY WOH",PUNGGOL CLOSE LAMPPOST 17 (MK21,HUP (PRIVATE) LIMITED
DORM-45587,"06445P, Woodlands Square, Woodlands Central, Urbanville@W -oodlands NEWCON BUILDERS",[CTQ] MK13,PTE. LTD.
DORM-45743,"04380X, Queensway Road/205A Queen's Crescent - Kay Lim Construction & Trading",MK03,Pte Ltd
DORM-45945,"04674K, 04675N, 04676X, 04673A, 04677L, 11276T(PT), 11278K(PT), 0-5539K, 09658X(PT) Bedok South Avenue 3/Bedok South Road CHANG HUA CONSTRUCTION",MK27,PTE LTD
DORM-45802,"05465A, Tengah Park Avenue - Teambuild Engineering & Construction",MK10,Pte Ltd
DORM-45950,"05464T, Tengah Park Avenue - TEAMBUILD ENGINEERING & CONSTRUCTION",MK10,PTE LTD
DORM-45870,"05239W, Tanah Merah Coast Road -",MK31,
DORM-46500,"02785L, 02787M, 03270C PT, 99876X PT, 99877L PT, Sumang Lane (P unggol Planning Area) Kay Lim Construction & Trading",MK21,Pte Ltd
DORM-45931,"18265V, Ang Mo Kio Avenue 5 Hi-Tek Construction",MK18,Pte. Ltd.
DORM-04135,"05202K, Tanah Merah Coast KTC CIVIL ENGINEERING & CONSTRUCTION",[CTQ] MK31,PTE LTD
DORM-46531,,"MK25 96469T,00491N, 00489X, 00490K, 96576A, KWC64 Project, Tanjong R h2u0 0R3o1a1d975W0086, TANJONG RHU ROAD BHCC Construction Pte Ltd",
DORM-45744,"09097N, Ang Mo Kio Central 2 & 3 VICO Construction",[CTQ] MK18,Pte Ltd
DORM-46533,"05437M, Common Green at Fernvale Street Chan Rong Fen Building Construction Pte Ltd Chan Rong Fen Building Construction",MK20,Pte Ltd
DORM-46646,,Kampong Arang Road & Sampan Place (Kallang Planning Area) Expand Construction Pte Ltd,
DORM-45567,"04027L, Tampines Road (Hougang Planning Area) CES ENGINEERING & CONSTRUCTION",[CTQ] MK22,PTE. LTD.
DORM-45862,"05376W, Changi Coast Walk (Tampines Planning Area) Prelim Construction",MK31,Pte Ltd
DORM-46446,"05961T, 00451M, 127A Jalan Rajah - NEWCON BUILDERS",MK17,PTE LTD
DORM-46648,"04173X, YISHUN AVENUE 1 Chip Eng Seng Contractor (1988)",MK19,Pte Ltd
DORM-46680,"03700K PT, MK03-04517T PT, MK03-04757T PT, M ei Chin Road NEWCON BUILDERS","200713695G0065, MK01",PTE. LTD.
